TOW,Sat1,Sat_filt1,Sat2,Sat_filt2,Sat3,Sat_filt3,Sat4,Sat_filt4,Sat5,Sat_filt5,Sat6,Sat_filt6,Sat7,Sat_filt7,Sat8,Sat_filt8,Sat9,Sat_filt9,Sat10,Sat_filt10,Sat11,Sat_filt11,Sat12,Sat_filt12,Sat13,Sat_filt13,Sat14,Sat_filt14,Sat15,Sat_filt15,Sat16,Sat_filt16,Sat17,Sat_filt17,Sat18,Sat_filt18,Sat19,Sat_filt19,Sat20,Sat_filt20,Sat21,Sat_filt21,Sat22,Sat_filt22,Sat23,Sat_filt23,Sat24,Sat_filt24,Sat25,Sat_filt25,Sat26,Sat_filt26,Sat27,Sat_filt27,Sat28,Sat_filt28,Sat29,Sat_filt29,Sat30,Sat_filt30,Sat31,Sat_filt31,Sat32,Sat_filt32
408802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.90104,5.2893,0,0,9.57079,8.4969,-9.828,-11.2188,0,0,0,0,0,0,0,0,11.6362,8.42608,0,0,-1.0012,-1.83626,0,0,0,0,-19.2319,-8.61768,0,0,0,0,0,0,0,0,-7.31399,-8.49034,9.26704,7.95081,0,0,0,0,0,0,0,0,0,0
408803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39598,5.52052,0,0,9.35346,8.6967,-10.1413,-10.9334,0,0,0,0,0,0,0,0,11.7226,9.003,0,0,-1.05165,-1.71428,0,0,0,0,-17.9787,-10.4155,0,0,0,0,0,0,0,0,-7.44022,-8.28716,9.13989,8.13022,0,0,0,0,0,0,0,0,0,0
408804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4815,5.66206,0,0,8.51529,8.79089,-10.7567,-10.7368,0,0,0,0,0,0,0,0,11.1329,9.49426,0,0,-1.58362,-1.62318,0,0,0,0,-12.9899,-11.7145,0,0,0,0,0,0,0,0,-8.24814,-8.1317,8.44866,8.25903,0,0,0,0,0,0,0,0,0,0
408805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84035,5.75328,0,0,8.21017,8.84848,-11.0089,-10.5966,0,0,0,0,0,0,0,0,10.8989,9.93569,0,0,-1.96671,-1.53757,0,0,0,0,-10.109,-12.7254,0,0,0,0,0,0,0,0,-8.93287,-8.03523,8.06806,8.35739,0,0,0,0,0,0,0,0,0,0
408806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.70159,5.80558,0,0,8.44031,8.94542,-12.4313,-10.6026,0,0,0,0,0,0,0,0,10.953,10.3334,0,0,-2.37323,-1.43734,0,0,0,0,-8.28698,-13.5541,0,0,0,0,0,0,0,0,-8.96875,-7.9602,7.96538,8.46985,0,0,0,0,0,0,0,0,0,0
408807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76518,5.7679,0,0,7.66134,8.98703,-9.309,-10.3504,0,0,0,0,0,0,0,0,9.87296,10.6154,0,0,-3.71931,-1.43809,0,0,0,0,-6.50292,-14.2044,0,0,0,0,0,0,0,0,-9.23702,-7.9385,7.46877,8.56105,0,0,0,0,0,0,0,0,0,0
408808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11305,5.68293,0,0,7.02499,8.93396,-8.81397,-10.0085,0,0,0,0,0,0,0,0,8.84537,10.7843,0,0,-4.53913,-1.57218,0,0,0,0,-2.78496,-14.4829,0,0,0,0,0,0,0,0,-9.79006,-7.9554,6.94471,8.61784,0,0,0,0,0,0,0,0,0,0
408809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53296,5.10568,0,0,5.47607,8.44942,0,0,0,0,0,0,0,0,0,0,7.21638,10.4507,0,0,-5.71337,-2.16944,0,0,0,0,-2.81263,-12.4905,0,0,0,0,0,0,0,0,-11.177,-8.42973,5.47761,8.2022,0,0,0,0,0,0,0,0,0,0
408810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.717139,4.4633,0,0,5.14303,7.93785,0,0,0,0,0,0,0,0,0,0,6.11979,9.97563,0,0,-6.19547,-2.83065,0,0,0,0,1.89445,-10.0477,0,0,0,0,0,0,0,0,-12.3514,-9.02164,4.67243,7.70636,0,0,0,0,0,0,0,0,0,0
408811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291443,3.77402,0,0,4.83158,7.4227,0,0,0,0,0,0,0,0,0,0,5.3559,9.3754,0,0,-6.55153,-3.46952,0,0,0,0,4.95921,-7.38433,0,0,0,0,0,0,0,0,-12.9893,-9.64487,4.10266,7.15552,0,0,0,0,0,0,0,0,0,0
408812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158429,3.08233,0,0,4.35723,6.90135,0,0,0,0,0,0,0,0,0,0,4.30398,8.64218,0,0,-7.31502,-4.10091,0,0,0,0,9.14627,-4.54651,0,0,0,0,0,0,0,0,-13.7464,-10.2881,3.26974,6.55579,0,0,0,0,0,0,0,0,0,0
408813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.735687,2.36917,0,0,4.27092,6.39309,0,0,0,0,0,0,0,0,0,0,3.37533,7.80745,0,0,-8.17931,-4.81367,0,0,0,0,12.7904,-1.4696,0,0,0,0,0,0,0,0,-14.2288,-10.967,2.70715,5.91252,0,0,0,0,0,0,0,0,0,0
408814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184471,1.83946,0,0,5.96209,6.13777,-11.2093,-10.0538,0,0,0,0,0,0,0,0,4.16879,7.11104,0,0,-7.07439,-5.36275,0,0,0,0,17.1763,1.54701,0,0,0,0,0,0,0,0,-13.2565,-11.4678,4.04864,5.47252,0,0,0,0,0,0,0,0,0,0
408815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73528,1.1819,0,0,3.85146,5.7019,0,0,0,0,0,0,0,0,0,0,1.9252,6.21367,0,0,-8.53253,-6.01933,0,0,0,0,17.4925,4.30716,0,0,0,0,0,0,0,0,-15.2223,-12.0967,2.22098,4.88781,0,0,0,0,0,0,0,0,0,0
408816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8754,0.524202,0,0,3.72772,5.23064,0,0,0,0,0,0,0,0,0,0,1.87483,5.30585,0,0,-8.40535,-6.62254,0,0,0,0,17.6779,6.90365,0,0,0,0,0,0,0,0,-15.1924,-12.7191,2.19272,4.31054,0,0,0,0,0,0,0,0,0,0
408817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.27381,0.020303,0,0,4.09922,4.87443,0,0,0,0,0,0,0,0,0,0,2.00252,4.51881,0,0,-8.42878,-7.09349,0,0,0,0,15.7349,9.12743,0,0,0,0,0,0,0,0,-14.9728,-13.2927,2.83866,3.84753,0,0,0,0,0,0,0,0,0,0
408818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.35395,-0.426396,0,0,4.79896,4.65183,0,0,0,0,0,0,0,0,0,0,1.35596,3.76987,0,0,-9.17119,-7.55669,0,0,0,0,16.5222,11.0581,0,0,0,0,0,0,0,0,-15.2363,-13.8373,3.08438,3.4615,0,0,0,0,0,0,0,0,0,0
408819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.29313,-0.709005,0,0,5.20121,4.62434,0,0,0,0,0,0,0,0,0,0,1.61286,3.20952,0,0,-9.37368,-7.92273,0,0,0,0,16.1332,12.9527,0,0,0,0,0,0,0,0,-15.3525,-14.2549,3.07198,3.22093,0,0,0,0,0,0,0,0,0,0
408820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.20603,-0.901322,0,0,5.50541,4.66058,0,0,0,0,0,0,0,0,0,0,1.85581,2.78312,0,0,-8.99385,-8.20256,0,0,0,0,14.977,14.261,0,0,0,0,0,0,0,0,-15.3835,-14.5581,3.2452,3.07821,0,0,0,0,0,0,0,0,0,0
408821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.02531,-1.033,0,0,5.49967,4.72739,0,0,0,0,0,0,0,0,0,0,2.20445,2.46797,0,0,-8.90669,-8.43808,0,0,0,0,13.7838,15.1434,0,0,0,0,0,0,0,0,-15.3145,-14.7906,3.7586,3.04381,0,0,0,0,0,0,0,0,0,0
408822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.556527,-1.08707,0,0,5.76235,4.8679,0,0,0,0,0,0,0,0,0,0,2.34716,2.27229,0,0,-8.91775,-8.59835,0,0,0,0,12.1723,15.446,0,0,0,0,0,0,0,0,-14.8463,-14.9006,4.03884,3.12071,0,0,0,0,0,0,0,0,0,0
408823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.507636,-1.06426,0,0,6.17877,5.05869,0,0,0,0,0,0,0,0,0,0,2.48335,2.18309,0,0,-9.26384,-8.7068,0,0,0,0,11.4587,15.3129,0,0,0,0,0,0,0,0,-14.4951,-14.9272,4.14574,3.26457,0,0,0,0,0,0,0,0,0,0
408824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.275346,-1.11024,0,0,6.44481,5.10696,0,0,0,0,0,0,0,0,0,0,3.11159,2.07737,0,0,-9.53364,-8.95273,0,0,0,0,9.82071,14.5773,0,0,0,0,0,0,0,0,-13.9366,-14.9952,4.36848,3.29656,0,0,0,0,0,0,0,0,0,0
408825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3657,-0.973285,0,0,6.33361,5.35517,0,0,0,0,0,0,0,0,0,0,3.20228,2.20508,0,0,-9.81437,-9.08091,0,0,0,0,9.78863,13.8069,0,0,0,0,0,0,0,0,-13.7817,-14.8512,4.63728,3.53819,0,0,0,0,0,0,0,0,0,0
408826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0507595,-0.790821,0,0,6.50331,5.63273,0,0,0,0,0,0,0,0,0,0,3.86726,2.40432,0,0,-9.91907,-9.23229,0,0,0,0,8.58287,12.8974,0,0,0,0,0,0,0,0,-13.5992,-14.6919,4.61561,3.78048,0,0,0,0,0,0,0,0,0,0
408827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105799,-0.674019,0,0,6.37057,5.85987,0,0,0,0,0,0,0,0,0,0,4.0171,2.60578,0,0,-10.3787,-9.42728,0,0,0,0,9.26719,12.2506,0,0,0,0,0,0,0,0,-13.6932,-14.5639,4.52283,3.94889,0,0,0,0,0,0,0,0,0,0
408828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207092,-0.517915,0,0,6.9176,6.07173,0,0,0,0,0,0,0,0,0,0,4.02323,2.87251,0,0,-10.3681,-9.54697,0,0,0,0,8.37397,11.4358,0,0,0,0,0,0,0,0,-13.5002,-14.3903,4.34649,4.0751,0,0,0,0,0,0,0,0,0,0
408829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409293,-0.347673,0,0,7.17715,6.26933,0,0,0,0,0,0,0,0,0,0,4.15736,3.12696,0,0,-9.63306,-9.57291,0,0,0,0,6.05278,10.4278,0,0,0,0,0,0,0,0,-12.8011,-14.1351,4.63754,4.23166,0,0,0,0,0,0,0,0,0,0
408830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69242,-0.0578276,0,0,7.97438,6.51622,0,0,0,0,0,0,0,0,0,0,5.17482,3.45886,0,0,-8.29064,-9.50259,0,0,0,0,-0.902232,8.83987,0,0,0,0,0,0,0,0,-11.294,-13.7262,5.64526,4.47167,0,0,0,0,0,0,0,0,0,0
408831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16438,0.261142,0,0,7.74873,6.74113,0,0,0,0,0,0,0,0,0,0,5.77679,3.81609,0,0,-8.35513,-9.44744,0,0,0,0,-1.83645,7.27784,0,0,0,0,0,0,0,0,-11.2377,-13.3185,5.73932,4.66974,0,0,0,0,0,0,0,0,0,0
