Hour,Minute,Second,Latitude_deg,Latitude_min,Longitude_deg,Longitude_min,Status,SVs_Used,HDOP,Altitude_mamsl,Geoid_Sep,Age_of_DGNSS_Corr,DGNSS_Ref_Station
12,54,58.00,47,03.59752,008,19.25023,1,06,1.36,539.9,47.3,,
12,54,59.00,47,03.59754,008,19.25023,1,06,1.36,539.8,47.3,,
12,55,00.00,47,03.59755,008,19.25023,1,06,1.36,539.7,47.3,,
12,55,01.00,47,03.59756,008,19.25024,1,06,1.36,539.5,47.3,,
12,55,02.00,47,03.59756,008,19.25025,1,06,1.36,539.4,47.3,,
12,55,03.00,47,03.59757,008,19.25025,1,06,1.36,539.3,47.3,,
12,55,04.00,47,03.59757,008,19.25025,1,06,1.36,539.3,47.3,,
12,55,05.00,47,03.59757,008,19.25026,1,06,1.36,539.2,47.3,,
12,55,06.00,47,03.59757,008,19.25026,1,06,1.36,539.2,47.3,,
12,55,07.00,47,03.59758,008,19.25026,1,06,1.36,539.2,47.3,,
12,55,08.00,47,03.59758,008,19.25026,1,06,1.36,539.3,47.3,,
12,55,09.00,47,03.59759,008,19.25027,1,06,1.36,539.3,47.3,,
12,55,10.00,47,03.59759,008,19.25027,1,06,1.36,539.3,47.3,,
12,55,11.00,47,03.59760,008,19.25028,1,06,1.36,539.4,47.3,,
12,55,12.00,47,03.59759,008,19.25028,1,06,1.36,539.5,47.3,,
12,55,13.00,47,03.59759,008,19.25029,1,06,1.36,539.5,47.3,,
12,55,14.00,47,03.59759,008,19.25030,1,06,1.36,539.5,47.3,,
12,55,15.00,47,03.59759,008,19.25032,1,06,1.36,539.5,47.3,,
12,55,16.00,47,03.59759,008,19.25033,1,06,1.36,539.5,47.3,,
12,55,17.00,47,03.59758,008,19.25033,1,06,1.36,539.5,47.3,,
12,55,18.00,47,03.59758,008,19.25034,1,06,1.36,539.5,47.3,,
12,55,19.00,47,03.59758,008,19.25034,1,06,1.36,539.5,47.3,,
12,55,20.00,47,03.59758,008,19.25034,1,06,1.36,539.6,47.3,,
12,55,21.00,47,03.59758,008,19.25034,1,06,1.36,539.6,47.3,,
12,55,22.00,47,03.59758,008,19.25035,1,06,1.36,539.6,47.3,,
12,55,23.00,47,03.59758,008,19.25034,1,06,1.36,539.6,47.3,,
12,55,24.00,47,03.59758,008,19.25033,1,06,1.36,539.6,47.3,,
12,55,25.00,47,03.59757,008,19.25033,1,06,1.36,539.6,47.3,,
12,55,26.00,47,03.59757,008,19.25032,1,06,1.36,539.7,47.3,,
12,55,27.00,47,03.59756,008,19.25031,1,06,1.36,539.7,47.3,,
12,55,28.00,47,03.59755,008,19.25030,1,06,1.36,539.8,47.3,,
12,55,29.00,47,03.59754,008,19.25029,1,06,1.36,539.9,47.3,,
12,55,30.00,47,03.59754,008,19.25028,1,06,1.36,539.9,47.3,,
12,55,31.00,47,03.59754,008,19.25028,1,06,1.36,539.9,47.3,,
12,55,32.00,47,03.59753,008,19.25026,1,06,1.36,540.0,47.3,,
12,55,33.00,47,03.59753,008,19.25025,1,06,1.36,540.0,47.3,,
12,55,34.00,47,03.59753,008,19.25024,1,06,1.37,540.0,47.3,,
12,55,35.00,47,03.59753,008,19.25023,1,06,1.37,540.0,47.3,,
12,55,36.00,47,03.59752,008,19.25022,1,06,1.37,540.0,47.3,,
12,57,20.00,47,03.59692,008,19.24989,1,07,1.15,541.1,47.3,,
12,57,21.00,47,03.59693,008,19.24991,1,07,1.15,541.2,47.3,,
12,57,22.00,47,03.59693,008,19.24991,1,07,1.15,541.2,47.3,,
12,57,23.00,47,03.59694,008,19.24991,1,07,1.15,541.3,47.3,,
12,57,24.00,47,03.59695,008,19.24992,1,07,1.15,541.3,47.3,,
12,57,25.00,47,03.59695,008,19.24991,1,07,1.15,541.3,47.3,,
12,57,26.00,47,03.59696,008,19.24989,1,07,1.15,541.3,47.3,,
12,57,27.00,47,03.59697,008,19.24988,1,07,1.15,541.4,47.3,,
12,57,28.00,47,03.59698,008,19.24986,1,07,1.15,541.4,47.3,,
12,57,29.00,47,03.59699,008,19.24984,1,07,1.15,541.3,47.3,,
12,57,30.00,47,03.59699,008,19.24983,1,07,1.15,541.3,47.3,,
12,57,31.00,47,03.59700,008,19.24983,1,07,1.15,541.3,47.3,,
12,57,32.00,47,03.59701,008,19.24983,1,07,1.15,541.2,47.3,,
12,59,39.00,47,03.59658,008,19.24978,1,07,1.15,542.5,47.3,,
12,59,40.00,47,03.59655,008,19.24978,1,07,1.15,542.5,47.3,,
12,59,41.00,47,03.59652,008,19.24979,1,07,1.15,542.5,47.3,,
12,59,42.00,47,03.59649,008,19.24980,1,07,1.15,542.5,47.3,,
12,59,43.00,47,03.59647,008,19.24980,1,07,1.15,542.5,47.3,,
12,59,44.00,47,03.59644,008,19.24981,1,07,1.15,542.5,47.3,,
12,59,45.00,47,03.59642,008,19.24981,1,07,1.15,542.5,47.3,,
12,59,46.00,47,03.59640,008,19.24981,1,07,1.15,542.4,47.3,,
12,59,47.00,47,03.59637,008,19.24982,1,07,1.15,542.5,47.3,,
12,59,48.00,47,03.59635,008,19.24982,1,07,1.15,542.5,47.3,,
13,40,24.00,47,03.59661,008,19.25196,2,07,1.26,543.0,47.3,0.0,0199
13,40,25.00,47,03.59659,008,19.25196,2,07,1.26,543.0,47.3,0.0,0199
13,40,26.00,47,03.59658,008,19.25196,2,07,1.26,542.9,47.3,0.0,0199
13,40,27.00,47,03.59656,008,19.25195,2,07,1.26,542.9,47.3,0.0,0199
13,40,28.00,47,03.59655,008,19.25196,2,07,1.26,542.8,47.3,0.0,0199
13,40,29.00,47,03.59654,008,19.25196,2,07,1.26,542.8,47.3,0.0,0199
13,40,30.00,47,03.59652,008,19.25196,2,07,1.26,542.7,47.3,0.0,0199
13,40,31.00,47,03.59651,008,19.25196,2,07,1.26,542.7,47.3,0.0,0199
13,40,32.00,47,03.59650,008,19.25196,2,07,1.26,542.6,47.3,0.0,0199
13,40,33.00,47,03.59649,008,19.25195,2,07,1.26,542.6,47.3,0.0,0199
13,40,34.00,47,03.59647,008,19.25195,2,07,1.26,542.5,47.3,0.0,0199
