TOW	Sat1	Sat2	Sat3	Sat4	Sat5	Sat6	Sat7	Sat8	Sat9	Sat10	Sat11	Sat12	Sat13	Sat14	Sat15	Sat16	Sat17	Sat18	Sat19	Sat20	Sat21	Sat22	Sat23	Sat24	Sat25	Sat26	Sat27	Sat28	Sat29	Sat30	Sat31	Sat32
138009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.96055	0	0	0	-10.5284	3.10314	0	0	0	-3.7556	-1.33289	0	0	7.92163	0	2.63162	0
138010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78585	0	0	0	-10.5008	2.87221	0	0	0	-3.50864	-1.27073	0	0	7.91544	0	2.70668	0
138011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78688	0	0	0	-10.482	2.98485	0	0	0	-3.38019	-1.18393	0	0	7.72848	0	2.54591	0
138012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85524	0	0	0	-10.502	2.65207	0	0	0	-3.38271	-1.23328	0	0	8.05503	0	2.55563	0
138013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.52363	0	0	0	-6.83602	5.79921	0	0	0	0.0514036	2.26229	-24.3975	0	11.6425	0	5.95443	0
138014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.51054	0	0	0	-6.60861	6.05213	0	0	0	-0.0802063	2.41387	-24.7693	0	11.8027	0	5.67888	0
138015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.40155	0	0	0	-6.03346	6.4293	0	0	0	0.0610675	2.49295	-26.2496	0	11.9293	0	5.96893	0
138016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.30139	0	0	0	-5.91326	6.09312	0	0	0	0.0738606	2.31631	-25.3395	0	11.7429	0	5.72519	0
138017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.31912	0	0	0	-5.87718	6.12984	0	0	0	0.276626	2.60379	-26.3274	0	12.103	0	5.77218	0
138018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.84401	0	0	0	-5.96011	5.99853	0	0	0	-0.150807	2.17752	-24.3535	0	11.9365	0	5.50783	0
138019	0	0	0	0	-13.7051	0	0	0	0	0	0	0	0	0	0	6.46824	0	0	0	-4.25911	7.85512	0	0	0	1.24414	3.92633	-22.1827	0	13.4603	0	7.19277	0
138020	0	0	0	0	-15.076	0	0	0	0	0	0	0	0	0	0	6.38724	0	0	0	-3.95929	7.99098	0	0	0	1.43339	3.91478	-21.8398	0	13.8296	0	7.31903	0
138021	0	0	0	0	-14.9659	0	0	0	0	0	0	0	0	0	0	6.12781	0	0	0	-3.79557	8.04635	0	0	0	1.57728	3.99249	-22.4784	0	14.1087	0	7.38721	0
138022	0	0	0	0	-13.3729	0	0	0	0	0	0	0	0	0	0	5.98857	0	0	0	-3.83581	8.18022	0	0	0	1.65157	4.07417	-23.5296	0	13.8634	0	6.98043	0
138023	0	0	0	0	-16.3979	0	0	0	0	0	0	0	0	0	0	6.2555	0	0	0	-3.17452	8.48663	0	0	0	2.15162	4.42837	-22.9186	0	14.1647	0	7.00415	0
138024	0	0	0	0	-16.4431	0	0	0	0	0	0	0	0	0	0	6.22868	0	0	0	-3.12237	8.3965	0	0	0	2.29024	4.85247	-23.6663	0	14.5049	0	6.95907	0
138025	0	0	0	0	-14.2095	0	0	0	0	0	0	0	0	0	0	5.78305	0	0	0	-3.58629	8.26467	0	0	0	2.02961	4.45363	-23.4984	0	14.3311	0	6.43219	0
138026	0	0	0	0	-12.1509	0	0	0	0	0	0	0	0	0	0	5.31805	0	0	0	-3.89636	7.94959	0	0	0	1.91745	4.11115	-23.1148	0	13.9906	0	5.87525	0
138027	0	0	0	0	-13.9404	0	0	0	0	0	0	0	0	0	0	5.39209	0	0	0	-3.62504	8.37612	0	0	0	2.34638	4.54922	-23.5974	0	14.3645	0	6.13458	0
138028	0	0	0	0	-10.3208	0	0	0	0	0	0	0	0	0	0	5.25482	0	0	0	-3.47031	8.33148	0	0	0	2.53986	4.79936	-27.5114	0	14.144	0	6.23293	0
138029	0	0	0	0	-9.98995	0	0	0	0	0	0	0	0	0	0	5.30858	0	0	0	-3.51844	8.60191	0	0	0	2.38543	4.81022	-28.6086	0	14.7174	0	6.29341	0
138030	0	0	0	0	-10.4846	0	0	0	0	0	0	0	0	0	0	4.95425	0	0	0	-3.46112	8.47484	0	0	0	2.36586	4.59343	-27.4445	0	14.4822	0	6.5196	0
138031	0	0	0	0	-12.9922	0	0	0	0	0	0	0	0	0	0	5.15938	0	0	0	-3.69193	8.26343	0	0	0	2.19223	4.72389	-24.9102	0	14.6153	0	6.64001	0
138032	0	0	0	0	-17.0349	0	0	0	0	0	0	0	0	0	0	5.50321	0	0	0	-3.39264	8.53285	0	0	0	2.61297	5.36545	-23.6162	0	14.9752	0	7.05405	0
138033	0	0	0	0	-25.4523	0	0	0	0	0	0	0	0	0	0	6.44433	0	0	0	-2.26172	9.36649	0	0	0	3.53694	6.49679	-21.7342	0	15.8022	0	7.80145	0
138034	0	0	0	0	-31.0412	0	0	0	0	0	0	0	0	0	0	7.09762	0	0	0	-1.34132	10.1323	0	0	0	4.15752	7.48583	-21.6762	0	16.8481	0	8.33735	0
138035	0	0	0	0	-34.3067	0	0	0	0	0	0	0	0	0	0	7.37681	0	0	0	-1.00564	10.3251	0	0	0	4.28373	7.87986	-20.4136	0	17.2851	0	8.57546	0
138036	0	0	0	0	-36.6527	0	0	0	0	0	0	0	0	0	0	7.49229	0	0	0	-0.730178	10.3386	0	0	0	4.44876	8.17718	-19.6469	0	17.7422	0	8.83082	0
138037	0	0	0	0	-37.5479	0	0	0	0	0	0	0	0	0	0	7.45183	0	0	0	-0.393737	10.2503	0	0	0	4.53821	8.4728	-19.7086	0	17.9831	0	8.95412	0
138038	0	0	0	0	-34.7432	0	0	0	0	0	0	0	0	0	0	6.72999	0	0	0	-0.870747	10.1629	0	0	0	4.40179	8.30238	-19.92	0	17.6217	0	8.31519	0
138039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32594	0	0	0	-4.64726	6.01997	0	0	0	0.227214	4.00196	-25.1056	0	13.1773	0	4.00043	0
138040	0	0	0	0	-19.5209	0	0	0	0	0	0	0	0	0	0	4.82631	0	0	0	-2.18363	8.39059	0	0	0	2.55748	6.34142	-22.5759	0	15.4111	0	6.75349	0
138041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.11526	0	0	0	-4.47889	6.05761	0	0	0	-0.365566	4.1036	-24.7784	0	12.914	0	4.43232	0
138042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92978	0	0	0	-4.46788	5.98148	0	0	0	-0.290168	3.9261	-24.7875	0	12.9168	0	4.79132	0
138043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25281	0	0	0	-5.01933	5.16257	0	0	0	-0.852887	3.32411	-19.9402	0	11.9924	0	4.08051	0
138044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98425	0	0	0	-4.38165	6.00684	0	0	0	-0.293451	3.95323	-25.054	0	12.887	0	4.89775	0
138045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0519	0	0	0	-4.4089	6.01454	0	0	0	-0.623001	3.81977	-23.8696	0	12.5861	0	4.42919	0
138046	0	0	0	0	0.172087	0	0	0	0	0	0	0	0	0	0	1.63385	0	0	0	-5.10623	5.79129	0	0	0	-1.05272	3.41595	-21.3655	0	12.2013	0	4.30997	0
138047	0	0	0	0	-5.34743	0	0	0	0	0	0	0	0	0	0	2.65404	0	0	0	-4.57585	6.74624	0	0	0	-0.574811	4.29923	-21.1581	0	12.976	0	4.98074	0
138048	0	0	0	0	-16.3633	0	0	0	0	0	0	0	0	0	0	4.45007	0	0	0	-2.86941	8.58342	0	0	0	1.71007	6.02533	-23.2294	0	14.649	0	7.0442	0
